Program,Year,Period,Week Ending,State,Data Item,Value,CV (%)
CENSUS,2022,YEAR,,IDAHO,"HAY, ALFALFA - ACRES HARVESTED","1,047,568",6.3
CENSUS,2022,YEAR,,IDAHO,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","3,926,331",6.6
CENSUS,2022,YEAR,,ILLINOIS,"HAY, ALFALFA - ACRES HARVESTED","219,586",4.3
CENSUS,2022,YEAR,,ILLINOIS,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","744,476",4.1
CENSUS,2022,YEAR,,INDIANA,"HAY, ALFALFA - ACRES HARVESTED","203,050",6.4
CENSUS,2022,YEAR,,INDIANA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","571,706",7.8
CENSUS,2022,YEAR,,IOWA,"HAY, ALFALFA - ACRES HARVESTED","656,618",3.1
CENSUS,2022,YEAR,,IOWA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","2,080,442",2.7
CENSUS,2022,YEAR,,KANSAS,"HAY, ALFALFA - ACRES HARVESTED","584,381",9.2
CENSUS,2022,YEAR,,KANSAS,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","1,669,957",9.2
CENSUS,2022,YEAR,,KENTUCKY,"HAY, ALFALFA - ACRES HARVESTED","148,412",4.7
CENSUS,2022,YEAR,,KENTUCKY,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","383,604",5.9
CENSUS,2022,YEAR,,LOUISIANA,"HAY, ALFALFA - ACRES HARVESTED",201,32.7
CENSUS,2022,YEAR,,LOUISIANA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS",404,43.9
CENSUS,2022,YEAR,,MAINE,"HAY, ALFALFA - ACRES HARVESTED","11,799",8.5
CENSUS,2022,YEAR,,MAINE,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","13,858",9.6
CENSUS,2022,YEAR,,MARYLAND,"HAY, ALFALFA - ACRES HARVESTED","25,839",5
CENSUS,2022,YEAR,,MARYLAND,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","67,753",3.9
CENSUS,2022,YEAR,,MASSACHUSETTS,"HAY, ALFALFA - ACRES HARVESTED","8,007",13.9
CENSUS,2022,YEAR,,MASSACHUSETTS,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","10,015",17.5
CENSUS,2022,YEAR,,MICHIGAN,"HAY, ALFALFA - ACRES HARVESTED","542,761",20.6
CENSUS,2022,YEAR,,MICHIGAN,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","1,148,982",26.5
CENSUS,2022,YEAR,,MINNESOTA,"HAY, ALFALFA - ACRES HARVESTED","744,117",18.1
CENSUS,2022,YEAR,,MINNESOTA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","1,971,568",15.3
CENSUS,2022,YEAR,,MISSISSIPPI,"HAY, ALFALFA - ACRES HARVESTED",115,85.7
CENSUS,2022,YEAR,,MISSISSIPPI,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS",164,(H)
CENSUS,2022,YEAR,,MISSOURI,"HAY, ALFALFA - ACRES HARVESTED","183,932",3
CENSUS,2022,YEAR,,MISSOURI,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","403,936",4.1
CENSUS,2022,YEAR,,MONTANA,"HAY, ALFALFA - ACRES HARVESTED","1,837,085",9
CENSUS,2022,YEAR,,MONTANA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","3,203,459",9.5
CENSUS,2022,YEAR,,NEBRASKA,"HAY, ALFALFA - ACRES HARVESTED","872,319",5.5
CENSUS,2022,YEAR,,NEBRASKA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","2,594,082",4
CENSUS,2022,YEAR,,NEVADA,"HAY, ALFALFA - ACRES HARVESTED","289,809",7
CENSUS,2022,YEAR,,NEVADA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","1,225,727",7.6
CENSUS,2022,YEAR,,NEW HAMPSHIRE,"HAY, ALFALFA - ACRES HARVESTED","5,891",17.3
CENSUS,2022,YEAR,,NEW HAMPSHIRE,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","18,032",13.2
CENSUS,2022,YEAR,,NEW JERSEY,"HAY, ALFALFA - ACRES HARVESTED","17,067",4.9
CENSUS,2022,YEAR,,NEW JERSEY,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","38,425",5.7
CENSUS,2022,YEAR,,NEW MEXICO,"HAY, ALFALFA - ACRES HARVESTED","148,888",8.4
CENSUS,2022,YEAR,,NEW MEXICO,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","600,969",10.3
CENSUS,2022,YEAR,,NEW YORK,"HAY, ALFALFA - ACRES HARVESTED","332,364",3.1
CENSUS,2022,YEAR,,NEW YORK,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","812,755",3.1
CENSUS,2022,YEAR,,NORTH CAROLINA,"HAY, ALFALFA - ACRES HARVESTED","21,642",11
CENSUS,2022,YEAR,,NORTH CAROLINA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","54,745",12.3
CENSUS,2022,YEAR,,NORTH DAKOTA,"HAY, ALFALFA - ACRES HARVESTED","1,418,313",6.1
CENSUS,2022,YEAR,,NORTH DAKOTA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","2,450,126",4.5
CENSUS,2022,YEAR,,OHIO,"HAY, ALFALFA - ACRES HARVESTED","331,071",2.4
CENSUS,2022,YEAR,,OHIO,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","922,605",3.4
CENSUS,2022,YEAR,,OKLAHOMA,"HAY, ALFALFA - ACRES HARVESTED","204,186",6.1
CENSUS,2022,YEAR,,OKLAHOMA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","435,851",3.9
CENSUS,2022,YEAR,,OREGON,"HAY, ALFALFA - ACRES HARVESTED","358,904",7.1
CENSUS,2022,YEAR,,OREGON,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","1,466,192",8.1
CENSUS,2022,YEAR,,PENNSYLVANIA,"HAY, ALFALFA - ACRES HARVESTED","341,531",3.1
CENSUS,2022,YEAR,,PENNSYLVANIA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","810,595",2.4
CENSUS,2022,YEAR,,RHODE ISLAND,"HAY, ALFALFA - ACRES HARVESTED", (D),(D)
CENSUS,2022,YEAR,,RHODE ISLAND,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS", (D),(D)
CENSUS,2022,YEAR,,SOUTH CAROLINA,"HAY, ALFALFA - ACRES HARVESTED","3,346",15.5
CENSUS,2022,YEAR,,SOUTH CAROLINA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","7,849",20.2
CENSUS,2022,YEAR,,SOUTH DAKOTA,"HAY, ALFALFA - ACRES HARVESTED","1,749,234",3.8
CENSUS,2022,YEAR,,SOUTH DAKOTA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","2,822,572",4.5
CENSUS,2022,YEAR,,TENNESSEE,"HAY, ALFALFA - ACRES HARVESTED","25,643",8.6
CENSUS,2022,YEAR,,TENNESSEE,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","45,131",9
CENSUS,2022,YEAR,,TEXAS,"HAY, ALFALFA - ACRES HARVESTED","113,416",5.9
CENSUS,2022,YEAR,,TEXAS,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","302,831",6.9
CENSUS,2022,YEAR,,UTAH,"HAY, ALFALFA - ACRES HARVESTED","449,495",11.4
CENSUS,2022,YEAR,,UTAH,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","1,725,775",11.2
CENSUS,2022,YEAR,,VERMONT,"HAY, ALFALFA - ACRES HARVESTED","22,534",6.3
CENSUS,2022,YEAR,,VERMONT,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","46,453",8.1
CENSUS,2022,YEAR,,VIRGINIA,"HAY, ALFALFA - ACRES HARVESTED","75,956",7
CENSUS,2022,YEAR,,VIRGINIA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","208,601",3.2
CENSUS,2022,YEAR,,WASHINGTON,"HAY, ALFALFA - ACRES HARVESTED","379,831",10.3
CENSUS,2022,YEAR,,WASHINGTON,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","1,835,752",10.9
CENSUS,2022,YEAR,,WEST VIRGINIA,"HAY, ALFALFA - ACRES HARVESTED","39,057",4.1
CENSUS,2022,YEAR,,WEST VIRGINIA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","68,447",3.9
CENSUS,2022,YEAR,,WISCONSIN,"HAY, ALFALFA - ACRES HARVESTED","917,777",7.3
CENSUS,2022,YEAR,,WISCONSIN,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","2,548,877",6.6
CENSUS,2022,YEAR,,WYOMING,"HAY, ALFALFA - ACRES HARVESTED","547,862",6.9
CENSUS,2022,YEAR,,WYOMING,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","1,270,897",6
CENSUS,2017,YEAR,,ALABAMA,"HAY, ALFALFA - ACRES HARVESTED","3,157",64.2
CENSUS,2017,YEAR,,ALABAMA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","6,704",40.3
CENSUS,2017,YEAR,,ALASKA,"HAY, ALFALFA - ACRES HARVESTED",160,(L)
CENSUS,2017,YEAR,,ALASKA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS",150,(L)
CENSUS,2017,YEAR,,ARIZONA,"HAY, ALFALFA - ACRES HARVESTED","302,903",9.6
CENSUS,2017,YEAR,,ARIZONA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","2,448,105",6.5
CENSUS,2017,YEAR,,ARKANSAS,"HAY, ALFALFA - ACRES HARVESTED","2,492",31.1
CENSUS,2017,YEAR,,ARKANSAS,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","6,491",19.6
CENSUS,2017,YEAR,,CALIFORNIA,"HAY, ALFALFA - ACRES HARVESTED","771,596",5.7
CENSUS,2017,YEAR,,CALIFORNIA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","4,656,210",5.5
CENSUS,2017,YEAR,,COLORADO,"HAY, ALFALFA - ACRES HARVESTED","744,249",11.7
CENSUS,2017,YEAR,,COLORADO,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","2,378,530",10
CENSUS,2017,YEAR,,CONNECTICUT,"HAY, ALFALFA - ACRES HARVESTED","9,433",24.6
CENSUS,2017,YEAR,,CONNECTICUT,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","16,278",21.5
CENSUS,2017,YEAR,,DELAWARE,"HAY, ALFALFA - ACRES HARVESTED","2,480",8.5
CENSUS,2017,YEAR,,DELAWARE,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","8,218",8.5
CENSUS,2017,YEAR,,FLORIDA,"HAY, ALFALFA - ACRES HARVESTED","10,167",20
CENSUS,2017,YEAR,,FLORIDA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","22,134",19.5
CENSUS,2017,YEAR,,GEORGIA,"HAY, ALFALFA - ACRES HARVESTED","10,066",6.4
CENSUS,2017,YEAR,,GEORGIA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","24,171",8.8
CENSUS,2017,YEAR,,HAWAII,"HAY, ALFALFA - ACRES HARVESTED", (D),(D)
CENSUS,2017,YEAR,,HAWAII,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS", (D),(D)
CENSUS,2017,YEAR,,IDAHO,"HAY, ALFALFA - ACRES HARVESTED","1,133,062",12.6
CENSUS,2017,YEAR,,IDAHO,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","4,561,851",10.9
CENSUS,2017,YEAR,,ILLINOIS,"HAY, ALFALFA - ACRES HARVESTED","248,167",6.9
CENSUS,2017,YEAR,,ILLINOIS,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","845,430",8.7
CENSUS,2017,YEAR,,INDIANA,"HAY, ALFALFA - ACRES HARVESTED","227,329",5.5
CENSUS,2017,YEAR,,INDIANA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","696,575",5.3
CENSUS,2017,YEAR,,IOWA,"HAY, ALFALFA - ACRES HARVESTED","705,260",2.6
CENSUS,2017,YEAR,,IOWA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","2,385,316",4.4
CENSUS,2017,YEAR,,KANSAS,"HAY, ALFALFA - ACRES HARVESTED","607,483",6.1
CENSUS,2017,YEAR,,KANSAS,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","2,149,965",5.3
CENSUS,2017,YEAR,,KENTUCKY,"HAY, ALFALFA - ACRES HARVESTED","207,505",8
CENSUS,2017,YEAR,,KENTUCKY,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","606,940",9.6
CENSUS,2017,YEAR,,LOUISIANA,"HAY, ALFALFA - ACRES HARVESTED","2,141",34.1
CENSUS,2017,YEAR,,LOUISIANA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","4,374",34.8
CENSUS,2017,YEAR,,MAINE,"HAY, ALFALFA - ACRES HARVESTED","12,842",12.9
CENSUS,2017,YEAR,,MAINE,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","21,879",14.7
CENSUS,2017,YEAR,,MARYLAND,"HAY, ALFALFA - ACRES HARVESTED","28,950",20.8
CENSUS,2017,YEAR,,MARYLAND,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","96,179",24.5
CENSUS,2017,YEAR,,MASSACHUSETTS,"HAY, ALFALFA - ACRES HARVESTED","10,410",8.4
CENSUS,2017,YEAR,,MASSACHUSETTS,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","23,845",5.4
CENSUS,2017,YEAR,,MICHIGAN,"HAY, ALFALFA - ACRES HARVESTED","576,416",7.5
CENSUS,2017,YEAR,,MICHIGAN,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","1,351,628",15.3
CENSUS,2017,YEAR,,MINNESOTA,"HAY, ALFALFA - ACRES HARVESTED","828,937",4.3
CENSUS,2017,YEAR,,MINNESOTA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","2,345,020",2.9
CENSUS,2017,YEAR,,MISSISSIPPI,"HAY, ALFALFA - ACRES HARVESTED",980,(H)
CENSUS,2017,YEAR,,MISSISSIPPI,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","2,879",(H)
CENSUS,2017,YEAR,,MISSOURI,"HAY, ALFALFA - ACRES HARVESTED","236,201",6.8
CENSUS,2017,YEAR,,MISSOURI,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","570,015",6.4
CENSUS,2017,YEAR,,MONTANA,"HAY, ALFALFA - ACRES HARVESTED","1,816,438",6.6
CENSUS,2017,YEAR,,MONTANA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","3,555,640",5.4
CENSUS,2017,YEAR,,NEBRASKA,"HAY, ALFALFA - ACRES HARVESTED","958,720",5
CENSUS,2017,YEAR,,NEBRASKA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","3,299,802",5.6
CENSUS,2017,YEAR,,NEVADA,"HAY, ALFALFA - ACRES HARVESTED","320,361",24.2
CENSUS,2017,YEAR,,NEVADA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","1,409,483",31.4
CENSUS,2017,YEAR,,NEW HAMPSHIRE,"HAY, ALFALFA - ACRES HARVESTED","5,706",19.9
CENSUS,2017,YEAR,,NEW HAMPSHIRE,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","9,762",17.7
CENSUS,2017,YEAR,,NEW JERSEY,"HAY, ALFALFA - ACRES HARVESTED","17,717",21.8
CENSUS,2017,YEAR,,NEW JERSEY,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","47,603",17.5
CENSUS,2017,YEAR,,NEW MEXICO,"HAY, ALFALFA - ACRES HARVESTED","181,551",5.9
CENSUS,2017,YEAR,,NEW MEXICO,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","836,870",13
CENSUS,2017,YEAR,,NEW YORK,"HAY, ALFALFA - ACRES HARVESTED","366,095",3.1
CENSUS,2017,YEAR,,NEW YORK,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","836,233",3.8
CENSUS,2017,YEAR,,NORTH CAROLINA,"HAY, ALFALFA - ACRES HARVESTED","13,603",8.9
CENSUS,2017,YEAR,,NORTH CAROLINA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","29,842",22.6
CENSUS,2017,YEAR,,NORTH DAKOTA,"HAY, ALFALFA - ACRES HARVESTED","1,436,407",6.4
CENSUS,2017,YEAR,,NORTH DAKOTA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","1,899,966",8
CENSUS,2017,YEAR,,OHIO,"HAY, ALFALFA - ACRES HARVESTED","412,318",1.5
CENSUS,2017,YEAR,,OHIO,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","1,217,582",3.4
CENSUS,2017,YEAR,,OKLAHOMA,"HAY, ALFALFA - ACRES HARVESTED","270,204",4.8
CENSUS,2017,YEAR,,OKLAHOMA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","821,227",6.2
CENSUS,2017,YEAR,,OREGON,"HAY, ALFALFA - ACRES HARVESTED","428,390",8.1
CENSUS,2017,YEAR,,OREGON,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","1,709,942",9.5
CENSUS,2017,YEAR,,PENNSYLVANIA,"HAY, ALFALFA - ACRES HARVESTED","410,231",4.1
CENSUS,2017,YEAR,,PENNSYLVANIA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","1,161,432",5
CENSUS,2017,YEAR,,RHODE ISLAND,"HAY, ALFALFA - ACRES HARVESTED", (D),(D)
CENSUS,2017,YEAR,,RHODE ISLAND,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS", (D),(D)
CENSUS,2017,YEAR,,SOUTH CAROLINA,"HAY, ALFALFA - ACRES HARVESTED","1,299",51.5
CENSUS,2017,YEAR,,SOUTH CAROLINA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","2,296",40.8
CENSUS,2017,YEAR,,SOUTH DAKOTA,"HAY, ALFALFA - ACRES HARVESTED","1,614,666",5.5
CENSUS,2017,YEAR,,SOUTH DAKOTA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","2,715,937",5.1
CENSUS,2017,YEAR,,TENNESSEE,"HAY, ALFALFA - ACRES HARVESTED","11,267",7.5
CENSUS,2017,YEAR,,TENNESSEE,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","28,473",10
CENSUS,2017,YEAR,,TEXAS,"HAY, ALFALFA - ACRES HARVESTED","142,879",32.2
CENSUS,2017,YEAR,,TEXAS,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","483,243",77.6
CENSUS,2017,YEAR,,UTAH,"HAY, ALFALFA - ACRES HARVESTED","596,725",7.7
CENSUS,2017,YEAR,,UTAH,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","2,402,989",8.2
CENSUS,2017,YEAR,,VERMONT,"HAY, ALFALFA - ACRES HARVESTED","25,739",7.9
CENSUS,2017,YEAR,,VERMONT,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","46,278",8.5
CENSUS,2017,YEAR,,VIRGINIA,"HAY, ALFALFA - ACRES HARVESTED","87,066",13
CENSUS,2017,YEAR,,VIRGINIA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","229,743",15.6
CENSUS,2017,YEAR,,WASHINGTON,"HAY, ALFALFA - ACRES HARVESTED","395,146",5.6
CENSUS,2017,YEAR,,WASHINGTON,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","1,805,533",7
CENSUS,2017,YEAR,,WEST VIRGINIA,"HAY, ALFALFA - ACRES HARVESTED","14,609",12
CENSUS,2017,YEAR,,WEST VIRGINIA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","34,818",5.5
CENSUS,2017,YEAR,,WISCONSIN,"HAY, ALFALFA - ACRES HARVESTED","1,042,016",5.9
CENSUS,2017,YEAR,,WISCONSIN,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","3,071,064",6.7
CENSUS,2017,YEAR,,WYOMING,"HAY, ALFALFA - ACRES HARVESTED","617,339",9.4
CENSUS,2017,YEAR,,WYOMING,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","1,525,634",8.3
CENSUS,2012,YEAR,,ALABAMA,"HAY, ALFALFA - ACRES HARVESTED","4,986",9.6
CENSUS,2012,YEAR,,ALABAMA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","8,361",7.4
CENSUS,2012,YEAR,,ALASKA,"HAY, ALFALFA - ACRES HARVESTED",70,19.2
CENSUS,2012,YEAR,,ALASKA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS",86,34.3
CENSUS,2012,YEAR,,ARIZONA,"HAY, ALFALFA - ACRES HARVESTED","272,457",61.7
CENSUS,2012,YEAR,,ARIZONA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","2,017,479",55.5
CENSUS,2012,YEAR,,ARKANSAS,"HAY, ALFALFA - ACRES HARVESTED","4,943",26.6
CENSUS,2012,YEAR,,ARKANSAS,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","11,532",29.6
CENSUS,2012,YEAR,,CALIFORNIA,"HAY, ALFALFA - ACRES HARVESTED","874,137",6.2
CENSUS,2012,YEAR,,CALIFORNIA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","5,607,210",5.1
CENSUS,2012,YEAR,,COLORADO,"HAY, ALFALFA - ACRES HARVESTED","654,284",14.2
CENSUS,2012,YEAR,,COLORADO,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","1,848,795",14.9
CENSUS,2012,YEAR,,CONNECTICUT,"HAY, ALFALFA - ACRES HARVESTED","4,883",8.2
CENSUS,2012,YEAR,,CONNECTICUT,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","12,972",6.6
CENSUS,2012,YEAR,,DELAWARE,"HAY, ALFALFA - ACRES HARVESTED","4,837",17.2
CENSUS,2012,YEAR,,DELAWARE,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","13,272",21
CENSUS,2012,YEAR,,FLORIDA,"HAY, ALFALFA - ACRES HARVESTED","4,988",8
CENSUS,2012,YEAR,,FLORIDA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","8,219",9
CENSUS,2012,YEAR,,GEORGIA,"HAY, ALFALFA - ACRES HARVESTED","1,599",12
CENSUS,2012,YEAR,,GEORGIA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","3,429",10
CENSUS,2012,YEAR,,IDAHO,"HAY, ALFALFA - ACRES HARVESTED","1,027,761",6.5
CENSUS,2012,YEAR,,IDAHO,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","3,966,325",6.2
CENSUS,2012,YEAR,,ILLINOIS,"HAY, ALFALFA - ACRES HARVESTED","247,746",2.7
CENSUS,2012,YEAR,,ILLINOIS,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","753,158",2.7
CENSUS,2012,YEAR,,INDIANA,"HAY, ALFALFA - ACRES HARVESTED","223,793",2.7
CENSUS,2012,YEAR,,INDIANA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","598,979",2.5
CENSUS,2012,YEAR,,IOWA,"HAY, ALFALFA - ACRES HARVESTED","656,367",8.2
CENSUS,2012,YEAR,,IOWA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","2,037,729",8
CENSUS,2012,YEAR,,KANSAS,"HAY, ALFALFA - ACRES HARVESTED","583,282",14.2
CENSUS,2012,YEAR,,KANSAS,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","1,633,838",19.7
CENSUS,2012,YEAR,,KENTUCKY,"HAY, ALFALFA - ACRES HARVESTED","198,075",2.8
CENSUS,2012,YEAR,,KENTUCKY,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","548,475",2.6
CENSUS,2012,YEAR,,LOUISIANA,"HAY, ALFALFA - ACRES HARVESTED","1,905",24.9
CENSUS,2012,YEAR,,LOUISIANA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","3,825",24.7
CENSUS,2012,YEAR,,MAINE,"HAY, ALFALFA - ACRES HARVESTED","9,144",15.5
CENSUS,2012,YEAR,,MAINE,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","14,142",15.9
CENSUS,2012,YEAR,,MARYLAND,"HAY, ALFALFA - ACRES HARVESTED","29,128",7
CENSUS,2012,YEAR,,MARYLAND,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","92,853",6.8
CENSUS,2012,YEAR,,MASSACHUSETTS,"HAY, ALFALFA - ACRES HARVESTED","8,585",9.9
CENSUS,2012,YEAR,,MASSACHUSETTS,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","18,789",10.1
CENSUS,2012,YEAR,,MICHIGAN,"HAY, ALFALFA - ACRES HARVESTED","601,194",3.3
